Title;Building Name;Time Required;Cost To Unlock;Unlocked at Depth;Items Required
Amulet;Jewel Crafting;2 Minutes;10;0;Polished Alexandrite x 5,Gold bar x 1,Polished Amethyst x 10
Antenna;Crafting;5 Hours;10;0;Aluminium Bar x 10,Steel Bar x 10,Copper Nail x 1000
Antimatter;Crafting;20 Minutes;10;0;Artifact x 1,Magnet x 2,Sapphire crystal glass x 10
Antimatter II;Crafting;20 Minutes;10;0;Artifact x 1,Magnet x 2,Sapphire crystal glass x 10
Antimatter III;Crafting;20 Minutes;10;0;Artifact x 1,Magnet x 2,Sapphire crystal glass x 10
Artifact;Find/Buy;0 0;0;0;0 x 0
Circuit Breaker;Crafting;3 Hours;10;108;Gear x 100,Iron bar x 1000,Plastic plate x 7
Cloning device;Crafting;30 Minutes;10;0;DNA Fauna capsule x 3,LCD Monitor x 30,Accumulator x 1000
Conductor I;Crafting;3 Hours;10;108;Wire x 5000,Glass x 500,Steel Plate x 200
Conductor II;Crafting;3 Hours;10;108;Wire x 5000,Glass x 500,Steel Plate x 200
Conductor III;Crafting;3 Hours;10;108;Wire x 5000,Glass x 500,Steel Plate x 200
Cooler I;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler II;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler III;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler IV;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler V;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler VI;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler VII;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler VIII;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler X;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Cooler XI;Crafting;1 Hour;10;108;Steel Plate x 120,Plastic plate x 5,Nitrogen Tank x 5
Corona Discharge Tube;Crafting;2 Minutes;10;0;Steel Plate x 2,Uranium Rod x 1,Mirror Laser x 3
CPU Module;Crafting;1 Hour 30 Minutes;10;0;Circuits x 10,Iron bar x 20,Copper Nail x 600
Decoupler I;Crafting;1 Hour;10;1;Steel Plate x 777,Rubber x 25,Copper Nail x 33500
Decoupler II;Crafting;1 Hour;10;1;Steel Plate x 777,Rubber x 25,Copper Nail x 33500
Decoupler III;Crafting;1 Hour;10;1;Steel Plate x 777,Rubber x 25,Copper Nail x 33500
Defective pumpkin;Event;0 0;0;0;0 x 0
Electronic Components;Crafting;3 Hours;10;0;Accumulator x 2555,Solar panel x 65
Energy transducer;Crafting;20 Minutes;10;0;Artifact x 1,Titanium Bar x 20,Insulated Wire x 100
Engine IC;Crafting;1 Hour;10;0;Rubber x 25,Aluminium Bar x 3120,Diamond Cutter x 310
Engine IL;Crafting;2 Hours;10;0;Rubber x 25,Aluminium Bar x 3120,Diamond Cutter x 311
Engine IR;Crafting;3 Hour;10;0;Rubber x 25,Aluminium Bar x 3120,Diamond Cutter x 312
Excimer Laser;Crafting;30 Minutes;10;0;Mirror Laser x 50,Sapphire crystal glass x 1000,Solar panel x 55
Federation Chipset;Crafting;3 Hours;10;108;Chipset x 50,Insulated Wire x 500,Motherboard x 300
Feeder;Crafting;2 Hours;10;108;Gear x 300,Iron bar x 5000,Plastic plate x 20
Flora defender;Chemistry;30 Seconds;610000;0;Gas cylinder x 0.1,Refined oil x 0.1,Chlorine x 0.6
Fuselage;Crafting;5 Hours;10;0;Aluminium Bar x 500,Steel Bar x 100,Copper Nail x 1000
Gas storage;Crafting;30 Minutes;10;0;Gas cylinder x 100,Motherboard x 1000,Electrical Engine x 10
Grape Seed;Find/Buy;0 0;10;0;0 x 0
Honor badge;Find/Buy;0 0;10;0;0 x 0
Hydrochloric acid;Chemistry;2 Minutes;575000;0;Sulfuric acid x 0.25,Sodium chloride x 5
Chipset;Crafting;1 Minute;475000;0;Hydrochloric acid x 1,Circuits x 3,Silver Bar x 1
Chlorine;Chemistry;3 Minutes;585000;0;Sodium chloride x 1
Input Module;Crafting;1 Hour;10;0;Battery x 50,Iron bar x 20
Jet Engine;Crafting;5 Hours;10;0;Steel Bar x 100,Wire x 100,Silver Bar x 20
Liana Seed;Find/Buy;0 0;10;0;0 x 0
Lutetium;Chemistry;10 Minutes;580000;0;Sulfuric acid x 1,Lutetium Ore x 20
Lutetium Bar;Smelting;1 Minute;355000;0;Lutetium x 5
Magic box;Event;0 0;10;0;0 x 0
Main Capsule;Crafting;3 Hours;10;0;Aluminium Bar x 1250,Diamond Cutter x 225,Rubber x 45
Mega Pumpkin;Crafting;5 Minutes;100;0;Carved Pumpkin x 4500
Minkowski's computer;Crafting;20 Minutes;10;0;Chipset x 10,Artifact x 1,Optic fiber x 50
Mithril;Find/Buy;0 0;10;0;0 x 0
Nano ram;Find/Buy;0 0;10;0;0 x 0
Nitrogen;Ground;0 0;10;0;0 x 0
Nitrogen Tank;Crafting;2 Minutes;10;0;Aluminium tank x 1,Liquid nitrogen x 4
Node;Crafting;3 Hours;10;0;Lamp x 1900,Glass x 1600,Copper bar x 9555
Nozzle IC;Crafting;1 Hour;10;0;Aluminium Bar x 6250,Titanium Bar x 25,Graphite x 15100
Nozzle II;Crafting;1 Hour;10;0;Aluminium Bar x 6450,Titanium Bar x 25,Graphite x 15100
Nozzle IL;Crafting;1 Hour;10;0;Aluminium Bar x 6250,Titanium Bar x 25,Graphite x 15100
Nozzle IR;Crafting;1 Hour;10;0;Aluminium Bar x 6250,Titanium Bar x 25,Graphite x 15100
